Date,Volume,Volume_Change,Volume_Label
2020-12-11,51456006610.403404,9404399395.050919,1
2020-12-12,37864610631.46234,-13591395978.941063,0
2020-12-13,36129560660.676926,-1735049970.7854156,0
2020-12-14,35594491140.73312,-535069519.9438019,0
2020-12-15,37207256823.11252,1612765682.3793945,1
2020-12-16,48227478063.0557,11020221239.943184,1
2020-12-17,119966786315.09962,71739308252.04391,1
2020-12-18,117018623816.43909,-2948162498.6605377,0
2020-12-19,63655496241.65176,-53363127574.78733,0
2020-12-20,71034858155.1023,7379361913.450539,1
2020-12-21,85145371413.05922,14110513257.956924,1
2020-12-22,83963380723.3052,-1181990689.754013,0
2020-12-23,72103119537.01994,-11860261186.285263,0
2020-12-24,74435058818.58348,2331939281.5635376,1
2020-12-25,57592757106.51821,-16842301712.06527,0
2020-12-26,68174322705.22489,10581565598.70668,1
2020-12-27,102567647652.80286,34393324947.577965,1
2020-12-28,99495188799.21472,-3072458853.588135,0
2020-12-29,68162303669.41168,-31332885129.80304,0
2020-12-30,73712221377.4698,5549917708.058121,1
2020-12-31,79271345825.66364,5559124448.193832,1
2021-01-01,64558591251.664345,-14712754573.99929,0
2021-01-02,70104243266.33328,5545652014.668938,1
2021-01-03,124349523093.6553,54245279827.32202,1
2021-01-04,130918256520.55827,6568733426.902969,1
2021-01-05,125426476003.27278,-5491780517.285492,0
2021-01-06,120556816942.46576,-4869659060.807022,0
2021-01-07,141292953594.38013,20736136651.914368,1
2021-01-08,172295440554.826,31002486960.44586,1
2021-01-09,134582898528.89249,-37712542025.9335,0
2021-01-10,107609376316.1692,-26973522212.72328,0
2021-01-11,182855100854.8069,75245724538.63768,1
2021-01-12,176864618865.55716,-5990481989.249725,0
2021-01-13,126174618899.73376,-50689999965.823395,0
2021-01-14,114931563480.27837,-11243055419.455399,0
2021-01-15,117305372507.91306,2373809027.6346893,1
2021-01-16,123693873048.22154,6388500540.308487,1
2021-01-17,92863643157.15813,-30830229891.063416,0
2021-01-18,85952054615.28078,-6911588541.87735,0
2021-01-19,94696323432.83704,8744268817.55626,1
2021-01-20,98186705206.41496,3490381773.5779266,1
2021-01-21,104277748205.7988,6091042999.383835,1
2021-01-22,139223374167.47925,34945625961.68045,1
2021-01-23,92468003469.68349,-46755370697.79576,0
2021-01-24,71915450466.46252,-20552553003.220963,0
2021-01-25,85932342667.28577,14016892200.823242,1
2021-01-26,94141056517.76189,8208713850.47612,1
2021-01-27,90755198572.16116,-3385857945.6007233,0
2021-01-28,102591907666.95448,11836709094.79332,1
2021-01-29,152370872355.5225,49778964688.56801,1
2021-01-30,144056482145.46536,-8314390210.057129,0
2021-01-31,79168365015.20486,-64888117130.2605,0
2021-02-01,89774569869.48357,10606204854.278702,1
2021-02-02,86758683273.6702,-3015886595.8133698,0
2021-02-03,89352747406.26642,2594064132.596222,1
2021-02-04,95050564959.0524,5697817552.78598,1
2021-02-05,100182647822.41148,5132082863.359085,1
2021-02-06,106251967992.13086,6069320169.719376,1
2021-02-07,102991144866.25604,-3260823125.874817,0
2021-02-08,118889434701.5687,15898289835.312653,1
2021-02-09,183198175979.178,64308741277.609314,1
2021-02-10,129490884290.81744,-53707291688.360565,0
2021-02-11,125776147417.46043,-3714736873.35701,0
2021-02-12,137346856098.88524,11570708681.424805,1
2021-02-13,143039618394.03668,5692762295.1514435,1
2021-02-14,144739442865.15906,1699824471.1223755,1
2021-02-15,121933582464.31572,-22805860400.843338,0
2021-02-16,128596282134.78947,6662699670.473755,1
2021-02-17,142714894908.7139,14118612773.924423,1
2021-02-18,120111456625.69244,-22603438283.021454,0
2021-02-19,113055134900.88724,-7056321724.805206,0
2021-02-20,140453622250.90015,27398487350.01291,1
2021-02-21,139771860152.9566,-681762097.9435425,0
2021-02-22,149261235644.12186,9489375491.165253,1
2021-02-23,212151513117.8704,62890277473.748535,1
2021-02-24,174558097499.38934,-37593415618.48105,0
2021-02-25,124602948614.8466,-49955148884.54274,0
2021-02-26,136768565573.61696,12165616958.770355,1
2021-02-27,119956885361.7064,-16811680211.910553,0
2021-02-28,94856286509.80986,-25100598851.896545,0
2021-03-01,112766464735.36375,17910178225.553894,1
2021-03-02,111601588572.5958,-1164876162.7679596,0
2021-03-03,108365200914.1684,-3236387658.4273987,0
2021-03-04,119186130857.47658,10820929943.308182,1
2021-03-05,117859323450.23126,-1326807407.2453156,0
2021-03-06,97560333723.04031,-20298989727.19095,0
2021-03-07,86479140578.54686,-11081193144.493454,0
2021-03-08,101647849696.18729,15168709117.640427,1
2021-03-09,117158259798.89165,15510410102.704361,1
2021-03-10,120454358101.13034,3296098302.238693,1
2021-03-11,138622973047.75595,18168614946.62561,1
2021-03-12,132357056562.19308,-6265916485.562866,0
2021-03-13,133874862330.59612,1517805768.4030304,1
2021-03-14,122350418659.2234,-11524443671.372711,0
2021-03-15,127943028372.5734,5592609713.349991,1
2021-03-16,129824122177.71211,1881093805.1387177,1
2021-03-17,103479709533.5446,-26344412644.16751,0
2021-03-18,113184110344.01256,9704400810.467957,1
2021-03-19,101631795534.46152,-11552314809.55104,0
2021-03-20,87958442364.3281,-13673353170.133423,0
2021-03-21,95572143441.6789,7613701077.3508,1
2021-03-22,92548643674.98071,-3023499766.698181,0
2021-03-23,109449851792.81044,16901208117.829727,1
2021-03-24,99933043546.1793,-9516808246.631134,0
2021-03-25,131460234153.92424,31527190607.744934,1
2021-03-26,108542946098.89214,-22917288055.032104,0
2021-03-27,88506866566.9326,-20036079531.959534,0
2021-03-28,82011404713.58173,-6495461853.350876,0
2021-03-29,91499980031.03542,9488575317.45369,1
2021-03-30,98089413349.6299,6589433318.594482,1
2021-03-31,102853343111.27644,4763929761.646545,1
2021-04-01,115654009708.86974,12800666597.593292,1
2021-04-02,105128774133.54964,-10525235575.320099,0
2021-04-03,91212846892.23167,-13915927241.317963,0
2021-04-04,104713372859.30452,13500525967.072845,1
2021-04-05,97931171132.71126,-6782201726.593262,0
2021-04-06,104554598225.67928,6623427092.968018,1
2021-04-07,109029801399.0376,4475203173.358322,1
2021-04-08,104686589216.23338,-4343212182.8042145,0
2021-04-09,77270327841.63026,-27416261374.60312,0
2021-04-10,103026133874.74176,25755806033.111496,1
2021-04-11,97875436776.96034,-5150697097.781418,0
2021-04-12,100979406140.75008,3103969363.789734,1
2021-04-13,158430038672.48877,57450632531.73869,1
2021-04-14,173884088327.92194,15454049655.433167,1
2021-04-15,169238154522.35883,-4645933805.56311,0
2021-04-16,165610153604.99374,-3628000917.365082,0
2021-04-17,159749829773.17035,-5860323831.823395,0
2021-04-18,185812398998.3413,26062569225.17096,1
2021-04-19,139509205538.41348,-46303193459.927826,0
2021-04-20,122923034039.2283,-16586171499.18518,0
2021-04-21,114642171908.68784,-8280862130.540466,0
2021-04-22,127377801203.73653,12735629295.04869,1
2021-04-23,172670297787.2005,45292496583.463974,1
2021-04-24,118673612341.0492,-53996685446.151306,0
2021-04-25,73945549997.83684,-44728062343.21236,0
2021-04-26,97639482840.27106,23693932842.43422,1
2021-04-27,88040474935.70862,-9599007904.562439,0
2021-04-28,79980719164.69644,-8059755771.0121765,0
2021-04-29,78228039365.63628,-1752679799.0601654,0
2021-04-30,81510348962.76573,3282309597.1294556,1
2021-05-01,84085140057.66035,2574791094.894623,1
2021-05-02,70170320535.81009,-13914819521.850266,0
2021-05-03,79856745597.95123,9686425062.141144,1
2021-05-04,104329510588.68814,24472764990.736908,1
2021-05-05,104577993093.7576,248482505.069458,1
2021-05-06,97608603995.23251,-6969389098.525085,0
2021-05-07,96543881308.77055,-1064722686.4619598,0
2021-05-08,96516445928.84604,-27435379.92451477,0
2021-05-09,102692816568.36444,6176370639.518402,1
2021-05-10,97599777790.61288,-5093038777.751556,0
2021-05-11,109665832582.4177,12066054791.80481,1
2021-05-12,91534666588.09145,-18131165994.32625,0
2021-05-13,147012793468.8513,55478126880.75984,1
2021-05-14,104643650677.32684,-42369142791.524445,0
2021-05-15,80418871902.0039,-24224778775.322937,0
2021-05-16,86152547557.68709,5733675655.683182,1
2021-05-17,113942304201.84547,27789756644.158386,1
2021-05-18,97378342014.94267,-16563962186.902802,0
2021-05-19,145277986785.24896,47899644770.30629,1
2021-05-20,189296826007.0065,44018839221.75754,1
2021-05-21,111544715889.77776,-77752110117.22874,0
